id,name,thread 
975,Go to 11-14,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                11-14終わらない悪夢                                (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""The endless nightmare"
976,Page 1 (Black),The nightmare still continues...
977,Go to 12-1,"_______________________________________________________________________________第十一章　　「診察室」            　            　    　　                11-15カウフマンと３人で                                 (Nightmare examination room)Chapter 11   ""Examination Room""With Kaufmann, the three of us"
978,Page 1 (Nightmare examination room),I open the gate to the hospital and then energetically open the doorof the examination room.Inside Lisa is waiting for me.
979,Page 2 (Lisa appears),"""Harry!""She changes from looking completely exhausted and rushes over to me in aninnocent childlike way."
980,Page 3,"""Glad you're OK.""""Thank god you came back!I was scared to be here all alone!""""I'm here now. I was worried, too.I'm real happy to see you."""
981,Page 4,I lightly hug Lisa and gently draw away. I then speak while looking intoher eyes.
982,Page 5,"""Lisa...have you seen a police woman named Cybil?""""Cybil...?That is the first time I have heard that name...I have not seen her...Since the town has become like this I have not met any humans other than you."""
983,Page 6,"I was irritated that I didn't understand anything that was going on, so Iloudly clicked my tongue.""What's wrong Harry? You don't seem yourself.""""Sorry…I just cannot see the truth.Even talking to you now, I wonder if it isn't just a delusion."""
984,Page 7 (Lisa looks down),"Lisa looks a bit sad.""I am me.Nothing has changed.I have just been waiting for you here all along.""Saying nothing, I just looked at Lisa."
985,Page 8,"While we were talking I couldn't be sure if that I was currently sittinghere or actually speaking.My voice and my existence were beginning to disappear into the dry airin the room...第十一章　「診察室」「カウフマン現る」Chapter 11   ""Examination Room""Kaufmann appears"
986,Page 9 (Examination room door) (Kaufmann appears),And then the door opened and someone came in.Doctor Michael Kaufmann.Yes.He definitely said that he was a doctor at this hospital.
987,Page 10,"""What are you doing?""Lisa took a deep breath and half smiled to greet him.""This is Harry.His daughter has become lost in this town."""
988,Page 11,"""He already told me that. Have you found her?""No, I shook my head from side to side.""Harry, do you know Michael?"""
989,Page 12,"""Yeah, when I first visited this hospital I met him once.""I recalled the sight of him holding me at gunpoint.""Weren't you leaving town?""I asked sarcastically."
990,Page 13,"""It was no good.All the roads are blocked.It is impossible to get out.""The three of us just remained silent."
991,Page 14,"""I grew up in this town.I know this area.As far as I could see all the roads leading out of town have becomeprecipitous cliffs or were blocked with large boulders.We are completely isolated."""
992,Page 15,"Lisa's smile disappeared.""Well...what are we going to do?"" (Lisa)""We should start thinking about that. I am going to get some sleep...""With that Kaufmann left the room."
993,Page 16 (Kaufmann disappears),"""Where are you going?""""To the director's office. He often sleeps there.""Lisa answered for him."
994,Go to 12-6,"_______________________________________________________________________________第十二章　　「アニーズ・バー」                  　    　　                 12-1争う物音                                               (Kaufmann and a mumbler)Chapter 12   ""Annie's Bar""Sounds of a struggle"
995,"Page 1 (Lakeside intersection, night)","After passing through the sewers connected to the water supply installationnear the elementary school I came up in the most popular part of Silent Hill,the lakeside tourist spot."
